"listener"	"artist_name"	"album_name"	"song_name"	"artist_popularity"	"album_popularity"	"song_popularity"	"acousticness"	"danceability"	"energy"	"instrumentalness"	"liveness"	"loudness"	"speechiness"	"tempo"	"valence"
"101"	35	"Tom Petty and the Heartbreakers"	"Tom Petty & The Heartbreakers"	"American Girl"	72	66	72	0.448	0.55	0.824	0.000127	0.366	-5.988	0.0334	114.512	0.777
"102"	33	"Kacey Musgraves"	"Golden Hour"	"Rainbow"	78	78	73	0.88	0.581	0.197	0	0.107	-7.697	0.0329	130.367	0.349
"104"	32	"Starsailor"	"All The Plans"	"Tell Me It's Not Over"	52	33	36	0.000454	0.47	0.942	3.75e-06	0.118	-3.876	0.0481	127.031	0.391
"105"	32	"Eric Clapton"	"Slowhand 35th Anniversary (Super Deluxe)"	"Wonderful Tonight"	77	67	71	0.649	0.572	0.214	0.129	0.125	-15.625	0.0293	95.542	0.485
"106"	34	"Tom Waits"	"Closing Time (Remastered)"	"Martha"	65	56	52	0.981	0.262	0.321	0.868	0.173	-12.41	0.0344	121.343	0.258
"107"	29	"Dionne Warwick"	"The Essential Dionne Warwick"	"Love Will Find a Way"	64	28	9	0.417	0.456	0.452	1.64e-06	0.39	-8.402	0.0337	141.018	0.0923
"108"	29	"Elton John"	"Elton John"	"Your Song"	86	68	76	0.825	0.561	0.302	5.21e-06	0.131	-10.986	0.0319	128.172	0.278
"109"	27	"Lana Del Rey"	"Born To Die - The Paradise Edition"	"Video Games - Remastered"	85	73	68	0.811	0.236	0.249	1e-06	0.087	-9.595	0.0348	72.847	0.181
"110"	29	"Kodaline"	"Politics of Living"	"Hide and Seek"	76	63	61	0.107	0.51	0.84	0	0.0854	-3.343	0.0477	114.979	0.314
"111"	26	"Journey"	"Frontiers"	"Faithfully"	77	64	68	0.0979	0.202	0.644	0	0.109	-5.212	0.0324	85.04	0.252
"112"	24	"Guns N' Roses"	"Use Your Illusion I"	"Don't Cry (Original)"	83	75	73	0.00182	0.456	0.59	0.00379	0.104	-8.638	0.0327	124.635	0.243
"114"	22	"Colbie Caillat"	"All Of You"	"Brighter Than The Sun"	76	60	64	0.00952	0.629	0.793	1.14e-06	0.218	-5.942	0.0346	95.983	0.587
"115"	22	"Avril Lavigne"	"Head Above Water"	"Tell Me It's Over"	80	72	66	0.0379	0.55	0.736	0	0.139	-4.259	0.0302	92.026	0.295
"116"	24	"Lene Marlin"	"Playing My Game"	"Unforgivable Sinner"	52	54	44	0.216	0.627	0.641	0	0.383	-10.283	0.0299	96.308	0.712
"117"	25	"Modern Talking"	"The First & Second Album (30th Anniversary Edition)"	"You're My Heart, You're My Soul"	66	55	59	0.0586	0.845	0.541	0.0586	0.149	-9.029	0.0748	117.362	0.79
"118"	24	"Tom Odell"	"Jubilee Road (Deluxe)"	"Go Tell Her Now"	72	62	50	0.111	0.693	0.688	0	0.354	-6.023	0.0942	118	0.699
"119"	25	"Coldplay"	"A Rush Of Blood To The Head"	"Clocks"	89	78	75	0.599	0.577	0.749	0.0112	0.183	-7.215	0.0279	130.969	0.261
"120"	26	"The Lumineers"	"Gloria"	"Gloria"	80	55	63	0.658	0.523	0.714	5.2e-06	0.0785	-6.021	0.0367	78.211	0.659
"121"	25	"Bryan Adams"	"MTV Unplugged"	"Back To You - MTV Unplugged Version"	77	55	48	0.0342	0.493	0.883	0	0.385	-5.38	0.0307	125.569	0.787
"122"	25	"John Newman"	"Revolve (The Deluxe Edition)"	"Come And Get It"	72	50	56	0.00273	0.649	0.718	8.94e-05	0.115	-4.861	0.0423	109.003	0.801
"123"	25	"Enya"	"A Day Without Rain"	"Only Time"	75	66	68	0.841	0.418	0.249	0.661	0.112	-13.744	0.0301	82.803	0.213
"124"	25	"Scorpions"	"Crazy World"	"Send Me An Angel"	75	69	67	0.47	0.349	0.448	0.00257	0.242	-11.554	0.0304	107.833	0.187
"125"	24	"Jade Bird"	"I Get No Joy"	"I Get No Joy"	64	45	53	0.364	0.673	0.722	0	0.0605	-5.497	0.0855	91.962	0.717
"126"	24	"Chris Rea"	"Shamrock Diaries"	"Josephine"	58	43	50	0.0223	0.656	0.469	0.00866	0.0475	-15.941	0.0281	110.037	0.66
"127"	25	"Alanis Morissette"	"Unplugged"	"Head over Feet - Live / Unplugged Version"	71	60	61	0.0688	0.421	0.734	0	0.974	-8.692	0.0511	168.772	0.34
"129"	24	"Plan B"	"The Defamation of Strickland Banks"	"She Said"	60	58	63	0.301	0.72	0.538	3.03e-06	0.144	-5.85	0.141	147.007	0.815
"131"	24	"Delta Goodrem"	"Innocent Eyes (Ten Year Anniversary Acoustic Edition)"	"Predictable - Anniversary Edition"	56	30	18	0.812	0.688	0.402	0	0.0808	-8.648	0.0299	115.936	0.175
"132"	25	"Blondie"	"Blondie 4(0)-Ever: Greatest Hits Deluxe Redux / Ghosts Of Download"	"Maria"	71	54	61	0.0258	0.539	0.816	0.00202	0.076	-5.636	0.0632	159.689	0.742
"133"	25	"Backstreet Boys"	"Chances"	"Chances"	81	53	62	0.0178	0.551	0.755	0	0.466	-6.255	0.0678	109.835	0.296
"134"	24	"Gary Jules"	"Trading Snakeoil for Wolftickets"	"Mad World (Feat. Michael Andrews)"	58	60	68	0.976	0.345	0.0581	0.000366	0.103	-17.217	0.0374	174.117	0.304
"135"	24	"James Arthur"	"Falling like the Stars"	"Falling like the Stars"	86	72	81	0.823	0.296	0.351	1.5e-06	0.11	-9.538	0.0351	177.596	0.19
"136"	24	"Ella Henderson"	"Chapter One (Deluxe Version)"	"Ghost"	66	65	65	0.0457	0.68	0.84	8.38e-06	0.143	-3.823	0.0415	104.985	0.468
"137"	24	"Status Quo"	"Thirsty Work"	"Like It Or Not"	63	27	17	0.202	0.666	0.852	0	0.206	-6.309	0.0429	121.156	0.812
"138"	24	"Billy Joel"	"The Essential Billy Joel"	"Piano Man"	79	70	71	0.6	0.334	0.472	3.77e-06	0.317	-8.792	0.0277	179.167	0.431
"139"	22	"Incubus"	"Light Grenades"	"Love Hurts"	73	60	56	0.0129	0.474	0.805	2.51e-06	0.175	-4.063	0.0266	78.102	0.409
"140"	24	"Nina Nesbitt"	"Way In The World E.P."	"Way In The World"	74	23	25	0.108	0.596	0.89	0	0.117	-3.787	0.0335	123.076	0.496
"141"	22	"Andy Grammer"	"My Own Hero / Don't Give Up On Me"	"My Own Hero"	76	53	60	0.141	0.405	0.437	0	0.393	-6.996	0.0517	184.232	0.248
"142"	22	"Marc Anthony"	"Marc Anthony"	"When I Dream at Night"	82	55	41	0.482	0.537	0.899	3.13e-05	0.0818	-5.405	0.092	167.79	0.548
"143"	23	"Alannah Myles"	"Alannah Myles"	"Black Velvet"	59	62	69	0.273	0.754	0.366	9.04e-05	0.106	-10.07	0.0312	91.147	0.469
"145"	23	"Editors"	"In This Light and on This Evening"	"Papillon"	63	47	54	1.92e-05	0.505	0.949	0.00545	0.201	-5.384	0.0618	125.993	0.631
"146"	24	"Maren Morris"	"For The Throne (Music Inspired by the HBO Series Game of Thrones)"	"Kingdom of One"	81	78	60	0.271	0.443	0.399	0	0.12	-7.578	0.0298	86.086	0.0787
"147"	26	"Richard Ashcroft"	"Keys To The World"	"Break The Night With Colour"	56	44	49	0.282	0.532	0.579	0	0.0587	-7.714	0.023	79.936	0.489
"148"	26	"Radiohead"	"The Bends"	"Fake Plastic Trees"	81	70	69	0.167	0.454	0.229	0.102	0.202	-12.592	0.0297	73.552	0.134
